"source";"Act. GI Day";"Actual delivery date";"BG  booked";"BG  booked2";"Calendar Day";"Carrier";"Carrier2";"Company Code";"Company Code2";"Core Business Indicator";"Core Business Indicator2";"Country ship-to";"Country ship-to2";"Country sold-to";"Country sold-to2";"Created on";"Cust Hier1";"Cust Hier12";"Cust Hier2";"Cust Hier22";"Cust Hier3";"Cust Hier32";"Customer Channel";"Customer Channel2";"Customer Cluster";"Customer Cluster2";"Delivery date plann.";"Delivery plant";"Delivery plant2";"Document currency";"Document currency2";"Exchange rate effect";"Extern. Sales Office";"Extern. Sales Office2";"FI-ML0";"FI-ML02";"Fiscal year/period";"Fiscal year/period2";"Int. Sales Group";"Int. Sales Group2";"Int. Sales office";"Int. Sales office2";"Key Industry";"Key Industry2";"Leg transp. Chain";"Leg transp. Chain2";"Loading Country";"Loading Country2";"Loading location";"Loading location2";"Marketing Customer ship-to";"Marketing Customer ship-to2";"Marketing Customer sold-to";"Marketing Customer sold-to2";"Marketing Level 0";"Marketing Level 02";"Marketing Level 1";"Marketing Level 12";"Marketing Level 2";"Marketing Level 22";"Marketing Level 3";"Marketing Level 32";"Marketing Level 4";"Marketing Level 42";"Material";"Material2";"Mode of transport";"Mode of transport2";"Net due date";"PH3 Cluster";"PH3 Cluster2";"Plan. goods is. date";"Plant";"Plant2";"Posting date";"Prod.Hier.1";"Prod.Hier.12";"Prod.Hier.2";"Prod.Hier.22";"Prod.Hier.3";"Prod.Hier.32";"Prod.Hier.4";"Prod.Hier.42";"Prod.Hier.5";"Prod.Hier.52";"Prod.Hier.6";"Prod.Hier.62";"Prod.Hier.622";"Prod.Hier.6222";"Produced Material";"Produced Material2";"Region ship-to";"Region ship-to2";"Region sold-to";"Region sold-to2";"Reporting Unit  book";"Reporting Unit  book2";"Risk Class";"Risk Class2";"Risk category";"Risk category2";"SBE";"SBE2";"Sales Organization";"Sales Organization2";"Ship-to";"Ship-to2";"ShipTo State/ Province";"ShipTo State/ Province2";"Sold-to";"Sold-to2";"SoldTo State/ Province";"SoldTo State/ Province2";"Subregion ship-to";"Subregion ship-to2";"Subregion sold-to";"Subregion sold-to2";"T3 Arr. Date planned";"T3 Arr. date actual";"T3 Loading Loc. ROI";"T3 Loading Loc. ROI2";"T3 SH Shipper";"T3 SH Shipper2";"TM Destin. Location";"TM Destin. Location2";"Unpacked good";"Unpacked good2";"KPI AR-KeyDate: Amount in EUR";"KPI AR-KeyDate: Counter";"KPI AR-KeyDate: Net Value of Billing Item (DC)";"KPI AR-KeyDate: Weighted WoC Target days";"KPI AR-KeyDate: Weighted target days";"KPI AR-PM: Amount EUR";"KPI AR-PM: Counter";"KPI AR-PM: Diff WoC Target";"KPI AR-PM: EDO (Effective Days Outstanding)";"KPI AR-PM: Performance Days";"KPI AR-PM: Posting Days";"KPI AR-PM: Weighted WoC Target days";"KPI AR-PM: Weighted days late";"KPI AR-PM: Weighted performance";"KPI AR-PM: Weighted target days";"KPI COPA: Gross Sales Qty";"KPI COPA: Gross sales";"KPI COPA: Net proceeds";"KPI COPA: Net sales";"KPI COPA: Sales adjustments";"KPI COPA: Sales deductions";"KPI COSMOS: Consolidated Marginal Income 2a";"KPI COSMOS: Consolidated Marginal Income I";"KPI COSMOS: Gross Sales";"KPI COSMOS: Gross Sales Qty (in+ex)";"KPI COSMOS: Net Proceeds";"KPI COSMOS: Net Sales";"KPI COSMOS: Product Costs  Var.";"KPI COSMOS: Sales Adjustments";"KPI COSMOS: Sales Deductions";"KPI COSMOS: Total Manufacturing Costs  Fix";"KPI OTIF: # OT not in full";"KPI OTIF: # OTIF";"KPI OTIF: # late GI";"KPI OTIF: # late IF";"KPI OTIF: # late NIF";"KPI OTIF: # late create";"KPI OTIF: # late transport";"KPI OTIF: # not in full";"KPI OTIF: # on time";"KPI OTIF: # total deliveries";"KPI OTIF: # total late";"KPI OTIF: # total late+OT NIF";"KPI OTIF: 1. Agreed quantity KG";"KPI OTIF: Delivery Quantity KG";"KPI OTIF: Overdelivery KG";"KPI OTIF: Qty deviation KG";"KPI OTIF: Underdelivery KG";"KPI Sales: Delivery Quantity KG";"KPI Sales: Net value deliv. DC";"KPI Sales: Net value delivery EUR"
"COPA";"";"";"73";"EP";"";"";"";"0422";"Covestro (Thailand)";"T";"Core tolling";"IT";"Italy";"IT";"Italy";"";"72";"CA Flagship";"722";"CA IC";"75032";"IC General Industry";"I01";"IN-DIS Distributor";"#";"Not assigned";"";"THAB";"PRD EP  CPD MTP THAB";"";"";"";"#";"Not assigned";"";"";"008.2025";"008.2025";"599";"SALESGROUP GLOBAL";"SHE1";"COV Shenzhen";"05";"Wood & Furniture";"";"";"";"";"";"";"3579162";"IMCD N.V.";"3579162";"IMCD N.V.";"70";"PM";"E70";"PM Sales EMLA";"515";"PM TC SF/AS (TDI+)";"081";"PM Flex Foam EMEA";"E102";"PM Flex. Slabstock";"2375501";"ARCOL POLYOL 1107        0000,00 KG T01";"";"";"";"70540";"SPET";"";"THAB";"PRD EP  CPD MTP THAB";"04.08.2025";"70";"PM";"06";"PET PM";"200";"PET LONG-CHAINED";"201";"BASE POLYETHER LONG-";"#";"70/06/200/201/Not as";"#";"70/06/200/201/Not as";"";"";"5558646";"PET 1107";"R1";"EMEA";"R1";"EMEA";"060";"EP Resins";"";"";"";"";"31";"EP";"TH20";"COV (Thailand) Ltd.";"1458142";"Tillmanns S.p.A.";"IT MI";"Milan";"1458142";"Tillmanns S.p.A.";"IT MI";"Milan";"R11";"WEST EUROPE";"R11";"WEST EUROPE";"";"";"";"";"";"";"";"";"5484758";"ARCOL POLYOL 1107";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2282,214";"5249,09";"4928,78";"5036,68";"107,90";"212,41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"COSMOS";"";"";"73";"EP";"13.09.2025";"";"";"1554";"Covestro Polymers (C";"O";"Non core others";"IT";"Italy";"IT";"Italy";"";"72";"CA Flagship";"722";"CA IC";"75032";"IC General Industry";"I01";"IN-DIS Distributor";"#";"Not assigned";"";"ORY1";"DCRP TOTAL DIST COLU";"";"";"96,45";"#";"Not assigned";"";"";"009.2025";"009.2025";"599";"SALESGROUP GLOBAL";"SHE1";"COV Shenzhen";"15";"Other Industries";"";"";"";"";"";"";"3579162";"IMCD N.V.";"3579162";"IMCD N.V.";"70";"PM";"A70";"PM Sales APAC";"521";"PM TC CON/OTH (MDI+)";"046";"PM Others APAC";"A956";"PM New Custo. APAC";"2536122";"DESMODUR 44 V 20 L       0250,00 KG B13";"";"";"";"70630";"SMDI";"";"ORY1";"DCRP TOTAL DIST COLU";"";"70";"PM";"04";"MDI PM";"100";"MDI PM POLYMER";"172";"pMDI";"#";"70/04/100/172/Not as";"#";"70/04/100/172/Not as";"";"";"4203380";"MDI 44 V 20 L";"R1";"EMEA";"R1";"EMEA";"060";"EP Resins";"";"";"";"";"31";"EP";"B820";"COV Polymers (China)";"1458142";"Tillmanns S.p.A.";"IT MI";"Milan";"1458142";"Tillmanns S.p.A.";"IT MI";"Milan";"R11";"WEST EUROPE";"R11";"WEST EUROPE";"";"";"";"";"";"";"";"";"5596408";"DESMODUR 44 V 20 L";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5007,67";"4404,82";"11648,07";"5064,377";"11088,05";"10888,71";"6683,22";"-199,33";"759,36";"1203,14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AR-KeyDate";"";"";"73";"EP";"";"";"";"1554";"Covestro Polymers (C";"O";"Non core others";"CN";"PR of China";"CN";"PR of China";"";"02";"EP EE";"304";"EP Electronics";"73010";"EP DIS Electronics";"D01";"DIR-Direct";"#";"Not assigned";"";"#";"Not assigned";"";"";"";"BMSPL";"BMS PLANT";"73";"EP";"005.2026";"005.2026";"599";"SALESGROUP GLOBAL";"";"";"01";"Automotive";"";"";"";"";"";"";"2090571";"Covestro AG";"2090571";"Covestro AG";"73";"EP";"M73";"EP Mobility";"306";"EP Mobility";"142";"EP MOB INT";"A386";"EP MOB INT";"6588824";"B.T65XF CN      901510            BE100W";"";"";"23.06.2026";"73060";"EP Resins";"";"#";"Not assigned";"22.05.2026";"73";"EP";"31";"RESINS";"414";"BAYBLEND T / GV";"775";"BAYBLEND T XF";"#";"73/31/414/775/Not as";"#";"73/31/414/775/Not as";"";"";"939355";"B.T65XF CN      901510";"R3";"APAC";"R3";"APAC";"060";"EP Resins";"1";"Excellent default";"1257/#";"1257/Not assigned";"31";"EP";"B820";"COV Polymers (China)";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"939355";"B.T65XF CN      901510";"56713,65";"2,000";"";"850704,75";"1701409,50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sales";"17.06.2026";"22.06.2026";"";"";"";"";"";"";"";"P";"Core coproducer";"CN";"PR of China";"CN";"PR of China";"12.06.2026";"52";"PM Consumer Goods";"502";"PM Appliance Insul.";"70024";"PM Refri. & Free";"D01";"DIR-Direct";"#";"Not assigned";"17.06.2026";"B8AA";"PRD PM  MDI TRAIN CA";"EUR";"Euro";"";"";"";"";"";"";"";"";"";"B220";"Western Europe";"02";"Construction";"";"";"";"";"";"";"2090571";"Covestro AG";"2090571";"Covestro AG";"70";"PM";"N70";"PM Sales NA";"541";"PM TC CON/OTH (MDI+)";"086";"PM Rigid Foam NA";"N016";"PM Poly-ISO";"1677350";"MONDUR 489               0000,00 KG T001";"";"";"";"#";"Not assigned";"16.06.2026";"B8AA";"PRD PM  MDI TRAIN CA";"";"70";"PM";"04";"MDI PM";"100";"MDI PM POLYMER";"172";"pMDI";"#";"70/04/100/172/Not as";"#";"70/04/100/172/Not as";"80942614";"B.M850XF        013771";"5637295";"MDI 44 V 70 L";"R3";"APAC";"R3";"APAC";"";"";"";"";"";"";"";"";"";"";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"5289068";"MONDUR 489";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16580,460";"127337,93";"130454,10"
"COPA";"";"";"73";"EP";"";"";"";"0422";"Covestro (Thailand)";"B";"Non core basic chem.";"CN";"PR of China";"CN";"PR of China";"";"02";"EP EE";"304";"EP Electronics";"73010";"EP DIS Electronics";"D01";"DIR-Direct";"#";"Not assigned";"";"ORY1";"DCRP TOTAL DIST COLU";"";"";"";"#";"Not assigned";"";"";"004.2025";"004.2025";"599";"SALESGROUP GLOBAL";"B220";"Western Europe";"02";"Construction";"";"";"";"";"";"";"2090571";"Covestro AG";"2090571";"Covestro AG";"70";"PM";"E70";"PM Sales EMLA";"520";"PM TC CON/OTH (MDI+)";"085";"PM Constr. Ins.EMEA";"E081";"PM Insulation Board";"2536114";"DESMODUR 44 V 20 L       0000,00 KG T01";"";"";"";"70630";"SMDI";"";"ORY1";"DCRP TOTAL DIST COLU";"25.04.2025";"70";"PM";"04";"MDI PM";"100";"MDI PM POLYMER";"172";"pMDI";"#";"70/04/100/172/Not as";"#";"70/04/100/172/Not as";"";"";"4203380";"MDI 44 V 20 L";"R3";"APAC";"R3";"APAC";"060";"EP Resins";"";"";"";"";"31";"EP";"TH20";"COV (Thailand) Ltd.";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"5596408";"DESMODUR 44 V 20 L";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3232,944";"24829,01";"23194,65";"23631,41";"436,76";"1197,60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"COSMOS";"";"";"73";"EP";"12.02.2025";"";"";"1554";"Covestro Polymers (C";"P";"Core coproducer";"MX";"Mexico";"MX";"Mexico";"";"#";"Not assigned";"#";"#";"#";"#";"D01";"DIR-Direct";"#";"Not assigned";"";"ORY1";"DCRP TOTAL DIST COLU";"";"";"238,82";"BMSPL";"BMS PLANT";"";"";"002.2025";"002.2025";"599";"SALESGROUP GLOBAL";"TW03";"COV Taiwan domestic";"05";"Wood & Furniture";"";"";"";"";"";"";"11249558";"Plant MXQR";"11249558";"Plant MXQR";"70";"PM";"N70";"PM Sales NA";"540";"PM TC SF/AS (TDI+)";"083";"PM Flex Foam NA";"N002";"PM Slabstock Foam";"1677199";"MONDUR TD 80 GRADE A     0000,00 KG R001";"";"";"";"#";"Not assigned";"";"ORY1";"DCRP TOTAL DIST COLU";"";"70";"PM";"05";"TDI PM";"140";"TDI T 80";"191";"TDI T 80";"#";"70/05/140/191/Not as";"#";"70/05/140/191/Not as";"";"";"409448";"TDI T 80";"R2";"NA";"R2";"NA";"060";"EP Resins";"";"";"";"";"31";"EP";"B820";"COV Polymers (China)";"11249558";"Plant MXQR";"MX QUE";"Queretaro";"11249558";"Plant MXQR";"MX QUE";"Queretaro";"R21";"NA";"R21";"NA";"";"";"";"";"";"";"";"";"5289033";"MONDUR TD 80 GRADE A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30233,90";"30302,71";"72430,55";"10273,837";"69141,91";"69355,17";"38839,21";"213,26";"3075,38";"16834,93";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sales";"17.03.2026";"21.03.2026";"";"";"";"";"";"";"";"N";"Non core tolling";"DE";"Germany";"DE";"Germany";"15.03.2026";"53";"PM Others";"514";"PM Others";"70292";"PM Plixxent";"D04";"DIR-KA Large Account";"1195";"PM IS PLX (former TUR)";"16.03.2026";"B8KB";"PRD EP  CPD CAO B8KB";"EUR";"Euro";"";"";"";"";"";"";"";"";"";"HK01";"COV Hong Kong";"05";"Wood & Furniture";"";"";"";"";"";"";"11255428";"PLIXXENT Holding GmbH";"11255428";"PLIXXENT Holding GmbH";"70";"PM";"N70";"PM Sales NA";"540";"PM TC SF/AS (TDI+)";"083";"PM Flex Foam NA";"N002";"PM Slabstock Foam";"2373436";"ARCOL POLYOL F-3040      0000,00 KG T01";"";"";"";"#";"Not assigned";"14.03.2026";"B8KB";"PRD EP  CPD CAO B8KB";"";"70";"PM";"06";"PET PM";"200";"PET LONG-CHAINED";"201";"BASE POLYETHER LONG-";"#";"70/06/200/201/Not as";"#";"70/06/200/201/Not as";"87396623";"F.ID   64--010207  Z  70R1050,0  11880ID";"5672708";"PET F-3040";"R1";"EMEA";"R1";"EMEA";"";"";"";"";"";"";"";"";"";"";"3545476";"PLIXXENT GmbH & Co. KG";"DE 03";"Lower Saxony";"3545476";"PLIXXENT GmbH & Co. KG";"DE 03";"Lower Saxony";"R11";"WEST EUROPE";"R11";"WEST EUROPE";"";"";"";"";"";"";"";"";"5493978";"ARCOL POLYOL F-3040";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7353,020";"88971,54";"87029,53"
"Sales";"12.03.2025";"17.03.2025";"";"";"";"";"";"";"";"E";"Non core coproducer";"US";"USA";"US";"USA";"09.03.2025";"05";"EP Other Indu.";"311";"EP Resins";"73006";"EP Other DIS";"I01";"IN-DIS Distributor";"#";"Not assigned";"13.03.2025";"B8AA";"PRD PM  MDI TRAIN CA";"EUR";"Euro";"";"";"";"";"";"";"";"";"";"VN01";"COV Vietnam";"16";"Trader / Co-Producer";"";"";"";"";"";"";"2748306";"M Holland Company";"2748306";"M Holland Company";"70";"PM";"N70";"PM Sales NA";"541";"PM TC CON/OTH (MDI+)";"086";"PM Rigid Foam NA";"N205";"PM Independent SH";"3818636";"MONDUR MR LIGHT          0227,00 KG D008";"";"";"";"#";"Not assigned";"11.03.2025";"B8AA";"PRD PM  MDI TRAIN CA";"";"70";"PM";"04";"MDI PM";"100";"MDI PM POLYMER";"172";"pMDI";"#";"70/04/100/172/Not as";"#";"70/04/100/172/Not as";"4203380";"MDI 44 V 20 L";"4203380";"MDI 44 V 20 L";"R2";"NA";"R2";"NA";"";"";"";"";"";"";"";"";"";"";"2748306";"M Holland Company";"US IL";"Illinois";"2748306";"M Holland Company";"US IL";"Illinois";"R21";"NA";"R21";"NA";"";"";"";"";"";"";"";"";"5289122";"MONDUR MR LIGHT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17311,430";"79459,46";"79304,05"
"COPA";"";"";"75";"CA";"";"";"";"1175";"Covestro Resins(Fosh";"P";"Core coproducer";"MX";"Mexico";"MX";"Mexico";"";"01";"EP Mobility";"301";"EP Mobility";"73061";"EP MOB Lighting";"D01";"DIR-Direct";"3146";"EP Hella";"";"B8AA";"PRD PM  MDI TRAIN CA";"";"";"";"#";"Not assigned";"";"";"004.2026";"004.2026";"599";"SALESGROUP GLOBAL";"SHE1";"COV Shenzhen";"01";"Automotive";"";"";"";"";"";"";"11322077";"Forvia SE";"11322077";"Forvia SE";"73";"EP";"M73";"EP Mobility";"306";"EP Mobility";"136";"EP MOB Lighting";"A385";"EP MOB Lighting";"80273917";"M.AL2447P       550396            FA080M";"";"";"";"73060";"EP Resins";"";"B8AA";"PRD PM  MDI TRAIN CA";"23.04.2026";"73";"EP";"31";"RESINS";"625";"MAKROLON FOR IM - WE";"886";"IM WS AL";"#";"73/31/625/886/Not as";"#";"73/31/625/886/Not as";"";"";"180839";"M.AL2447P       550396";"R2";"NA";"R2";"NA";"050";"PRD";"";"";"";"";"52";"PRD";"DF20";"Covestro (Foshan)";"1706960";"HELLA AUTOMOTIVE MEXICO";"MX JAL";"Jalisco";"1706960";"HELLA AUTOMOTIVE MEXICO";"MX JAL";"Jalisco";"R21";"NA";"R21";"NA";"";"";"";"";"";"";"";"";"180839";"M.AL2447P       550396";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19400,545";"82646,32";"75160,60";"77888,42";"2727,82";"4757,90";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"COPA";"";"";"73";"EP";"";"";"";"1554";"Covestro Polymers (C";"P";"Core coproducer";"US";"USA";"US";"USA";"";"53";"PM Others";"514";"PM Others";"70144";"PM Independent SH";"I01";"IN-DIS Distributor";"1260";"PM ISH";"";"B8KB";"PRD EP  CPD CAO B8KB";"";"";"";"#";"Not assigned";"";"";"003.2026";"003.2026";"599";"SALESGROUP GLOBAL";"TW03";"COV Taiwan domestic";"01";"Automotive";"";"";"";"";"";"";"3425332";"Carlisle Companies Incorporated";"3425332";"Carlisle Companies Incorporated";"73";"EP";"M73";"EP Mobility";"306";"EP Mobility";"136";"EP MOB Lighting";"A385";"EP MOB Lighting";"81478989";"M.LED2245P      000000            BK150W";"";"";"";"73060";"EP Resins";"";"B8KB";"PRD EP  CPD CAO B8KB";"16.03.2026";"73";"EP";"31";"RESINS";"625";"MAKROLON FOR IM - WE";"895";"IM WS LED";"#";"73/31/625/895/Not as";"#";"73/31/625/895/Not as";"";"";"81038431";"M.LED2245P      000000";"R2";"NA";"R2";"NA";"060";"EP Resins";"";"";"";"";"31";"EP";"B820";"COV Polymers (China)";"11267987";"Accella Polyurethane Systems, LLC";"US PA";"Pennsylvania";"11267987";"Accella Polyurethane Systems, LLC";"US PA";"Pennsylvania";"R21";"NA";"R21";"NA";"";"";"";"";"";"";"";"";"81038431";"M.LED2245P      000000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1415,932";"9727,45";"9170,77";"9556,62";"385,85";"170,84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AR-PM";"";"";"73";"EP";"";"";"";"1554";"Covestro Polymers (C";"C";"Core external market";"CN";"PR of China";"CN";"PR of China";"";"#";"Not assigned";"#";"#";"#";"#";"D01";"DIR-Direct";"#";"Not assigned";"";"";"";"";"";"";"#";"Not assigned";"70";"PM";"001.2025";"001.2025";"599";"SALESGROUP GLOBAL";"JP01";"COV Japan";"12";"Chemical";"";"";"";"";"";"";"2090571";"Covestro AG";"2090571";"Covestro AG";"70";"PM";"N70";"PM Sales NA";"761";"PM RPM BC NA";"650";"PM IBC US/CAN  NA";"N006";"PM Ind. Operation";"2818640";"SODIUM HYDRXD 50%NON NSF 0000,00 KG T001";"";"";"20.02.2025";"#";"Not assigned";"";"B8AA";"PRD PM  MDI TRAIN CA";"23.01.2025";"76";"BASIC CHEMICALS";"61";"BASIC CHEMICALS";"096";"SODIUMHYDROXIDE";"573";"SODIUMHYD.SOL.50%";"#";"76/61/096/573/Not as";"#";"76/61/096/573/Not as";"";"";"5594561";"LIQUID CAUSTIC SODA 50%";"R3";"APAC";"R3";"APAC";"060";"EP Resins";"Not assigned";"Not assigned";"";"";"31";"EP";"B820";"COV Polymers (China)";"2966974";"Covestro Polymers (China) Company";"CN 020";"Shanghai";"2966974";"Covestro Polymers (China) Company";"CN 020";"Shanghai";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"85314522";"SODIUM HYDROXIDE SOL 50% NON NSF";"";"";"";"";"";"12217,13";"1,000";"13";"28,00";"28,00";"0,00";"183256,95";"-24434,26";"342,08";"366513,90";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"COPA";"";"";"73";"EP";"";"";"";"1554";"Covestro Polymers (C";"E";"Non core coproducer";"US";"USA";"US";"USA";"";"05";"EP Other Indu.";"311";"EP Resins";"73006";"EP Other DIS";"D01";"DIR-Direct";"#";"Not assigned";"";"4AAB";"PRD EP  CPD GUA 4AAB";"";"";"";"#";"Not assigned";"";"";"005.2025";"005.2025";"599";"SALESGROUP GLOBAL";"TW02";"COV Taiwan2 export";"01";"Automotive";"";"";"";"";"";"";"11401413";"Formerra, LLC";"11401413";"Formerra, LLC";"70";"PM";"N70";"PM Sales NA";"540";"PM TC SF/AS (TDI+)";"065";"PM Auto Seating NA";"N001";"PM Auto Flex. Foam";"84163725";"HYPERLITE POLYOL E-855   0000,00 KG T001";"";"";"";"#";"Not assigned";"";"4AAB";"PRD EP  CPD GUA 4AAB";"20.05.2025";"70";"PM";"06";"PET PM";"220";"PET FILLED";"204";"PMPO BASE FILLED";"#";"70/06/220/204/Not as";"#";"70/06/220/204/Not as";"";"";"84563331";"PET 1655";"R2";"NA";"R2";"NA";"060";"EP Resins";"";"";"";"";"31";"EP";"B820";"COV Polymers (China)";"11401412";"Formerra, LLC";"US IL";"Illinois";"11401412";"Formerra, LLC";"US IL";"Illinois";"R21";"NA";"R21";"NA";"";"";"";"";"";"";"";"";"83470772";"HYPERLITE POLYOL E-855";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"14588,617";"99348,48";"93199,13";"94634,80";"1435,67";"4713,68";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"COPA";"";"";"73";"EP";"";"";"";"0422";"Covestro (Thailand)";"E";"Non core coproducer";"CN";"PR of China";"CN";"PR of China";"";"52";"PM Consumer Goods";"502";"PM Appliance Insul.";"70024";"PM Refri. & Free";"D01";"DIR-Direct";"#";"Not assigned";"";"IKKU";"PRD EP  CPD FLG";"";"";"";"#";"Not assigned";"";"";"006.2026";"006.2026";"599";"SALESGROUP GLOBAL";"B220";"Western Europe";"05";"Wood & Furniture";"";"";"";"";"";"";"2090571";"Covestro AG";"2090571";"Covestro AG";"70";"PM";"A70";"PM Sales APAC";"531";"PM TC SF/AS (TDI+)";"075";"PM Flex Foam APAC";"A902";"PM Furnit FF Slabsto";"3827899";"DESMODUR T 80-CN         0000,00 KG T01";"";"";"";"70520";"STDI";"";"IKKU";"PRD EP  CPD FLG";"12.06.2026";"70";"PM";"05";"TDI PM";"140";"TDI T 80";"191";"TDI T 80";"#";"70/05/140/191/Not as";"#";"70/05/140/191/Not as";"";"";"83331209";"TDI T 80 CN";"R3";"APAC";"R3";"APAC";"060";"EP Resins";"";"";"";"";"31";"EP";"TH20";"COV (Thailand) Ltd.";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"3604521";"Covestro (Shanghai) Investment";"CN 020";"Shanghai";"R32";"GREATER CHINA";"R32";"GREATER CHINA";"";"";"";"";"";"";"";"";"6362338";"DESMODUR T 80-CN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1727,738";"13269,03";"11710,18";"12214,81";"504,63";"1054,22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"OTIF";"12.09.2025";"";"";"";"";"11190380";"Shanghai Milkyway Ch";"";"";"P";"Core coproducer";"#";"Not assigned";"#";"Not assigned";"";"#";"Not assigned";"#";"#";"#";"#";"D01";"DIR-Direct";"#";"Not assigned";"";"#";"Not assigned";"";"";"";"";"";"";"";"";"";"";"";"IN01";"COV India";"05";"Wood & Furniture";"#";"#";"CN";"PR of China";"CN/CN_B802";"PUR MMDI FG SHIPPING Bulk";"#";"Not assigned";"#";"Not assigned";"70";"PM";"E70";"PM Sales EMLA";"515";"PM TC SF/AS (TDI+)";"082";"PM Flex Foam LA";"L001";"PM Flexible Foam";"2816885";"DESMODUR T 80            0250,00 KG DR17";"40";"Air";"";"#";"Not assigned";"";"#";"Not assigned";"";"70";"PM";"05";"TDI PM";"140";"TDI T 80";"191";"TDI T 80";"#";"70/05/140/191/Not as";"#";"70/05/140/191/Not as";"";"";"409448";"TDI T 80";"#";"Not assigned";"#";"Not assigned";"";"";"";"";"";"";"";"";"";"";"#";"Not assigned";"#";"Not assigned";"#";"Not assigned";"#";"Not assigned";"#";"Not assigned";"#";"Not assigned";"17.09.2025";"17.09.2025";"CN CN_B802";"PUR MMDI FG SHIPPING Bulk";"#";"#";"C_0001179130";"Plant ORBL";"5213312";"DESMODUR T 80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,000";"1,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"1,000";"1,000";"0,000";"0,000";"12443,130";"12443,130";"0,000";"0,000";"-0,000";"";"";""
